PSR,Edot,Bstar,P,Ecl,Lgamma,Ea,Ecb,E10,Gammas,E0,d,b
J1740+1000,2.3e+35,2.5e+12,154.1,0.69,6.5e+32,0.33,0.10,1.87,3.07,0.74,1.690,0.667
J1741+1351,2.1e+34,4.4e+8,3.7,2.39,1.2e+33,1.90,0.64,11.50,1.75,1.42,0.753,0.667
J1741−2054,9.5e+33,3.6e+12,413.7,0.98,1.3e+33,0.86,0.56,4.32,2.37,1.17,1.380,0.858
J1744−1134,4.2e+33,2.3e+8,4.1,1.40,6.9e+32,1.02,0.29,5.66,1.99,1.01,1.020,0.667
J1745+1017,4.8e+33,1.0e+8,2.7,2.38,1.3e+33,1.80,0.64,11.10,1.83,1.47,0.773,0.667
J1747−2958,2.5e+36,3.3e+12,98.8,3.20,1.2e+35,0.53,0.99,8.47,2.93,2.93,0.914,0.667
J1747−4036,1.1e+35,2.0e+8,1.6,2.95,8.2e+34,0.82,0.88,9.25,2.14,1.10,0.517,0.667
J1801−2451,2.6e+36,5.4e+12,124.9,5.70,5.5e+34,0.70,2.36,16.80,2.32,2.08,0.408,0.667
J1805+0615,7.3e+34,2.6e+8,2.1,2.30,9.5e+33,2.05,0.61,11.60,1.81,1.67,0.872,0.667
J1809−2332,4.3e+35,3.0e+12,146.8,3.84,3.9e+34,1.24,0.01,15.70,2.30,2.11,0.626,0.338
J1810+1744*,4.0e+34,1.2e+8,1.7,3.62,1.6e+34,0.50,1.19,9.41,2.16,0.85,0.354,0.667
